metric,mean,ci_lower,ci_upper,n_replications
admission_rate,0.9965172234467101,0.994939226847492,0.9980952200459282,30
rejection_rate,0.0034827765532898774,0.0019047799540717844,0.005060773152507971,30
avg_waiting_time,0.5661306283843004,0.4936973156157433,0.6385639411528574,30
avg_bed_utilization,0.9071659731853906,0.9012695382310449,0.9130624081397363,30
peak_queue_length,3.6333333333333333,3.3477185280829995,3.918948138583667,30
pct_time_queue_full,0.00036985668053629215,-0.00011926557118399888,0.0008589789322565832,30
pct_time_under_pressure,0.2085991678224688,0.18512988931463195,0.23206844633030563,30
avg_length_of_stay,19.1804185192879,19.06249824427428,19.29833879430152,30
rejection_rate_low,0.0,0.0,0.0,30
rejection_rate_medium,0.004022384504146085,0.0018357817062415165,0.006208987302050653,30
rejection_rate_high,0.03452621452621452,0.014189319203587559,0.05486310984884149,30
