admission_rate,rejection_rate,avg_waiting_time,avg_bed_utilization,peak_queue_length,pct_time_queue_full,pct_time_under_pressure,avg_length_of_stay,rejection_rate_low,rejection_rate_medium,rejection_rate_high,replication,seed,scenario
0.8328840970350404,0.16711590296495957,5.365734955622258,0.9858529819694868,5,0.10540915395284327,0.926490984743412,29.14338555026359,0.1532258064516129,0.1625,0.5714285714285714,0,2026000,base_10_fifo_uniform
0.8342391304347826,0.16576086956521738,5.780295575700717,0.9866851595006936,5,0.09986130374479889,0.9486823855755895,29.853216470292736,0.08870967741935484,0.2,0.3333333333333333,1,2026001,base_10_fifo_uniform
0.865546218487395,0.13445378151260504,4.837149635016209,0.984882108183079,5,0.06796116504854369,0.9029126213592233,28.482102799767933,0.10256410256410256,0.14782608695652175,0.2,2,2026002,base_10_fifo_uniform
0.8319559228650137,0.16804407713498623,5.752152661764984,0.9848821081830791,5,0.11095700416088766,0.9181692094313454,30.10288123440314,0.1188118811881188,0.17578125,0.6666666666666666,3,2026003,base_10_fifo_uniform
0.8519553072625698,0.14804469273743018,5.535248127705508,0.9848821081830791,5,0.0651872399445215,0.9459084604715673,29.721005228173276,0.09433962264150944,0.17083333333333334,0.16666666666666666,4,2026004,base_10_fifo_uniform
0.8314917127071824,0.1685082872928177,5.666074442289994,0.9854368932038835,5,0.10540915395284327,0.9472954230235784,30.14416904320896,0.13333333333333333,0.18032786885245902,0.23076923076923078,5,2026005,base_10_fifo_uniform
0.8379888268156425,0.16201117318435754,5.117272222323831,0.982246879334258,5,0.10263522884882108,0.9015256588072122,29.357005536933205,0.06451612903225806,0.1953125,0.2222222222222222,6,2026006,base_10_fifo_uniform
0.8539944903581267,0.14600550964187328,5.797898753281353,0.9869625520110957,5,0.11650485436893204,0.941747572815534,29.413640708658097,0.15037593984962405,0.14864864864864866,0.0,7,2026007,base_10_fifo_uniform
0.8591160220994475,0.1408839779005525,5.7526239705234525,0.9865464632454923,5,0.11650485436893204,0.9389736477115118,29.318536836468173,0.09375,0.17333333333333334,0.0,8,2026008,base_10_fifo_uniform
0.8642659279778393,0.13573407202216067,5.492265548555883,0.9837725381414701,5,0.11234396671289876,0.9320388349514563,29.09916536015148,0.125,0.13839285714285715,0.2222222222222222,9,2026009,base_10_fifo_uniform
0.8676056338028169,0.1323943661971831,5.430172740787999,0.9828016643550623,5,0.10263522884882108,0.8987517337031901,29.229374029387557,0.10344827586206896,0.14893617021276595,0.0,10,2026010,base_10_fifo_uniform
