num_beds,metric,mean,ci_lower,ci_upper,n_replications
10,admission_rate,0.8565250673395063,0.8506142540528134,0.8624358806261991,30
10,rejection_rate,0.14347493266049366,0.13756411937380084,0.14938574594718648,30
10,avg_waiting_time,5.419010148528444,5.2989073425500335,5.539112954506854,30
10,avg_bed_utilization,0.9854091539528433,0.9848987368789721,0.9859195710267146,30
10,peak_queue_length,5.0,5.0,5.0,30
10,pct_time_queue_full,0.09676375404530743,0.08976144766651864,0.10376606042409622,30
10,pct_time_under_pressure,0.9294960702727694,0.9227529565156553,0.9362391840298835,30
10,avg_length_of_stay,29.229680106937973,29.079546780139356,29.37981343373659,30
10,rejection_rate_low,0.08525625806554826,0.07341408620544113,0.0970984299256554,30
10,rejection_rate_medium,0.1663823645341453,0.15877477908426602,0.17398994998402456,30
10,rejection_rate_high,0.34070170570170577,0.2803875337093844,0.40101587769402713,30
11,admission_rate,0.9309003183844421,0.9246322979539514,0.9371683388149328,30
11,rejection_rate,0.069099681615558,0.06283166118506735,0.07536770204604866,30
11,avg_waiting_time,4.466247656918417,4.292364983353185,4.6401303304836485,30
11,avg_bed_utilization,0.981061656789812,0.9796430238652114,0.9824802897144127,30
11,peak_queue_length,5.0,5.0,5.0,30
11,pct_time_queue_full,0.05265834489135459,0.04704158414244702,0.05827510564026216,30
11,pct_time_under_pressure,0.8531668978270922,0.8326614665101109,0.8736723291440736,30
11,avg_length_of_stay,28.423805651378903,28.193819703036567,28.653791599721238,30
11,rejection_rate_low,0.034116997508730054,0.027841397971465755,0.04039259704599435,30
11,rejection_rate_medium,0.08287581561494903,0.07543706863982635,0.0903145625900717,30
11,rejection_rate_high,0.13874051874051874,0.08479567245387498,0.1926853650271625,30
12,admission_rate,0.9825354190198489,0.9776815874250446,0.9873892506146531,30
12,rejection_rate,0.01746458098015126,0.012610749385346995,0.022318412574955523,30
12,avg_waiting_time,2.5258375679961564,2.282354693032039,2.769320442960274,30
12,avg_bed_utilization,0.9592348589921406,0.9555033037861609,0.9629664141981202,30
12,peak_queue_length,4.966666666666667,4.898492345262244,5.03484098807109,30
12,pct_time_queue_full,0.015811373092926486,0.010857644806117745,0.020765101379735227,30
12,pct_time_under_pressure,0.6014331946370781,0.5632518318454582,0.639614557428698,30
12,avg_length_of_stay,26.58577491645743,26.284818908878485,26.886730924036378,30
12,rejection_rate_low,0.012005277468200801,0.006341167067169279,0.017669387869232323,30
12,rejection_rate_medium,0.018259825786863908,0.012850458913375988,0.023669192660351827,30
12,rejection_rate_high,0.06647065897065897,0.03354515986314575,0.0993961580781722,30
14,admission_rate,1.0,1.0,1.0,30
14,rejection_rate,0.0,0.0,0.0,30
14,avg_waiting_time,0.12893543196146787,0.10429030746965114,0.15358055645328458,30
14,avg_bed_utilization,0.8334852387556964,0.828137783609483,0.8388326939019097,30
14,peak_queue_length,2.6333333333333333,2.315830834606167,2.9508358320604997,30
14,pct_time_queue_full,4.6232085067036525e-05,-4.832314572966732e-05,0.00014078731586374037,30
14,pct_time_under_pressure,0.05053166897827091,0.04234556282989022,0.0587177751266516,30
14,avg_length_of_stay,24.11662130645716,24.0128087813258,24.22043383158852,30
14,rejection_rate_low,0.0,0.0,0.0,30
14,rejection_rate_medium,0.0,0.0,0.0,30
14,rejection_rate_high,0.0,0.0,0.0,30
