scenario,metric,mean,ci_lower,ci_upper,n_replications
Base (10/FIFO/Uniform),admission_rate,0.852248159873689,0.8464678628705596,0.8580284568768183,30.0
Base (10/FIFO/Uniform),rejection_rate,0.14775184012631115,0.1419715431231818,0.1535321371294405,30.0
Base (10/FIFO/Uniform),avg_waiting_time,5.479935262476659,5.386643715906943,5.573226809046376,30.0
Base (10/FIFO/Uniform),avg_bed_utilization,0.9855339805825243,0.9848528365780831,0.9862151245869655,30.0
Base (10/FIFO/Uniform),peak_queue_length,5.0,5.0,5.0,30.0
Base (10/FIFO/Uniform),pct_time_queue_full,0.0978733240869163,0.09223322899323491,0.1035134191805977,30.0
Base (10/FIFO/Uniform),pct_time_under_pressure,0.9277392510402219,0.9210467111207007,0.9344317909597432,30.0
Base (10/FIFO/Uniform),avg_length_of_stay,29.310971845273727,29.142139060799977,29.479804629747477,30.0
Base (10/FIFO/Uniform),rejection_rate_low,0.10051866107680234,0.09181324342034221,0.10922407873326247,30.0
Base (10/FIFO/Uniform),rejection_rate_medium,0.16739754610803845,0.15918287331299386,0.17561221890308304,30.0
Base (10/FIFO/Uniform),rejection_rate_high,0.2643180893180893,0.19247015360568592,0.3361660250304927,30.0
Capacity (12 beds/FIFO/Uniform),admission_rate,0.9825354190198489,0.9776815874250446,0.9873892506146531,30.0
Capacity (12 beds/FIFO/Uniform),rejection_rate,0.01746458098015126,0.012610749385346995,0.022318412574955523,30.0
Capacity (12 beds/FIFO/Uniform),avg_waiting_time,2.5258375679961564,2.282354693032039,2.769320442960274,30.0
Capacity (12 beds/FIFO/Uniform),avg_bed_utilization,0.9592348589921406,0.9555033037861609,0.9629664141981202,30.0
Capacity (12 beds/FIFO/Uniform),peak_queue_length,4.966666666666667,4.898492345262244,5.03484098807109,30.0
Capacity (12 beds/FIFO/Uniform),pct_time_queue_full,0.015811373092926486,0.010857644806117745,0.020765101379735227,30.0
Capacity (12 beds/FIFO/Uniform),pct_time_under_pressure,0.6014331946370781,0.5632518318454582,0.639614557428698,30.0
Capacity (12 beds/FIFO/Uniform),avg_length_of_stay,26.58577491645743,26.284818908878485,26.886730924036378,30.0
Capacity (12 beds/FIFO/Uniform),rejection_rate_low,0.012005277468200801,0.006341167067169279,0.017669387869232323,30.0
Capacity (12 beds/FIFO/Uniform),rejection_rate_medium,0.018259825786863908,0.012850458913375988,0.023669192660351827,30.0
Capacity (12 beds/FIFO/Uniform),rejection_rate_high,0.06647065897065897,0.03354515986314575,0.0993961580781722,30.0
Queue Policy (10/Priority/Uniform),admission_rate,0.8246571723904401,0.8170588213695424,0.8322555234113378,30.0
Queue Policy (10/Priority/Uniform),rejection_rate,0.17534282760955985,0.1677444765886622,0.1829411786304575,30.0
Queue Policy (10/Priority/Uniform),avg_waiting_time,2.719276669628461,2.6666054560683596,2.7719478831885622,30.0
Queue Policy (10/Priority/Uniform),avg_bed_utilization,0.9820064724919094,0.9811029772525491,0.9829099677312697,30.0
Queue Policy (10/Priority/Uniform),peak_queue_length,5.0,5.0,5.0,30.0
Queue Policy (10/Priority/Uniform),pct_time_queue_full,0.02723069810448451,0.023931341415820262,0.030530054793148756,30.0
Queue Policy (10/Priority/Uniform),pct_time_under_pressure,0.8348127600554786,0.8254338271548753,0.8441916929560818,30.0
Queue Policy (10/Priority/Uniform),avg_length_of_stay,27.317691221502535,27.16650182989723,27.468880613107842,30.0
Queue Policy (10/Priority/Uniform),rejection_rate_low,0.3672323114246284,0.35094085251011786,0.383523770339139,30.0
Queue Policy (10/Priority/Uniform),rejection_rate_medium,0.08839855823823774,0.08185228299999954,0.09494483347647593,30.0
Queue Policy (10/Priority/Uniform),rejection_rate_high,0.03493746993746994,0.011545246389957294,0.058329693484982584,30.0
Combined (12/Priority/Uniform),admission_rate,0.9735239813268771,0.9696047314357685,0.9774432312179857,30.0
Combined (12/Priority/Uniform),rejection_rate,0.0264760186731229,0.02255676878201432,0.030395268564231484,30.0
Combined (12/Priority/Uniform),avg_waiting_time,1.214859689484037,1.1233315751311554,1.3063878038369188,30.0
Combined (12/Priority/Uniform),avg_bed_utilization,0.9455463091385421,0.9412852940407335,0.9498073242363507,30.0
Combined (12/Priority/Uniform),peak_queue_length,4.566666666666666,4.378467384918179,4.754865948415154,30.0
Combined (12/Priority/Uniform),pct_time_queue_full,0.0026352288488210814,0.0014944689758844942,0.0037759887217576685,30.0
Combined (12/Priority/Uniform),pct_time_under_pressure,0.4273693943596856,0.39988019354837107,0.4548585951710001,30.0
Combined (12/Priority/Uniform),avg_length_of_stay,25.3018565442245,25.130882054359677,25.47283103408932,30.0
Combined (12/Priority/Uniform),rejection_rate_low,0.06054870843051061,0.05029061684387153,0.0708068000171497,30.0
Combined (12/Priority/Uniform),rejection_rate_medium,0.010881775288967714,0.008029251540547481,0.013734299037387947,30.0
Combined (12/Priority/Uniform),rejection_rate_high,0.0,0.0,0.0,30.0
Stress (10_fifo/Exponential),admission_rate,0.8089585738860542,0.7951910342670051,0.8227261135051033,30.0
Stress (10_fifo/Exponential),rejection_rate,0.1910414261139458,0.17727388649489673,0.2048089657329949,30.0
Stress (10_fifo/Exponential),avg_waiting_time,3.7741734700330554,3.5862863259100846,3.962060614156026,30.0
Stress (10_fifo/Exponential),avg_bed_utilization,0.9507258437355525,0.9439753053706477,0.9574763821004573,30.0
Stress (10_fifo/Exponential),peak_queue_length,5.0,5.0,5.0,30.0
Stress (10_fifo/Exponential),pct_time_queue_full,0.10032362459546924,0.09233577704060263,0.10831147215033586,30.0
Stress (10_fifo/Exponential),pct_time_under_pressure,0.694868238557559,0.6632887634674295,0.7264477136476885,30.0
Stress (10_fifo/Exponential),avg_length_of_stay,27.718887375820444,27.459173172045073,27.978601579595814,30.0
Stress (10_fifo/Exponential),rejection_rate_low,0.15901604154402013,0.13749097247417386,0.1805411106138664,30.0
Stress (10_fifo/Exponential),rejection_rate_medium,0.20254009234424603,0.18891987950486633,0.21616030518362572,30.0
Stress (10_fifo/Exponential),rejection_rate_high,0.30900437525437524,0.24577771587581485,0.3722310346329356,30.0
Stress (10_priority/Exponential),admission_rate,0.7818309854011317,0.7681421378278088,0.7955198329744546,30.0
Stress (10_priority/Exponential),rejection_rate,0.21816901459886834,0.20448016702554542,0.23185786217219126,30.0
Stress (10_priority/Exponential),avg_waiting_time,2.285695391173802,2.185418355427855,2.3859724269197486,30.0
Stress (10_priority/Exponential),avg_bed_utilization,0.939704114655571,0.9324383851155283,0.9469698441956137,30.0
Stress (10_priority/Exponential),peak_queue_length,5.0,5.0,5.0,30.0
Stress (10_priority/Exponential),pct_time_queue_full,0.07420249653259361,0.06689882911093936,0.08150616395424787,30.0
Stress (10_priority/Exponential),pct_time_under_pressure,0.6271844660194174,0.6009331565431618,0.6534357754956729,30.0
Stress (10_priority/Exponential),avg_length_of_stay,26.75076128107462,26.551340517244796,26.950182044904444,30.0
Stress (10_priority/Exponential),rejection_rate_low,0.36800619950996016,0.34459834191390554,0.3914140571060148,30.0
Stress (10_priority/Exponential),rejection_rate_medium,0.14693737228386666,0.1343322645292026,0.15954248003853072,30.0
Stress (10_priority/Exponential),rejection_rate_high,0.09544566544566546,0.055404602379204325,0.1354867285121266,30.0
Stress (12_fifo/Exponential),admission_rate,0.9232107222955073,0.9145924439203624,0.9318290006706521,30.0
Stress (12_fifo/Exponential),rejection_rate,0.07678927770449272,0.06817099932934789,0.08540755607963754,30.0
Stress (12_fifo/Exponential),avg_waiting_time,2.1690021166921127,2.014919912808908,2.3230843205753176,30.0
Stress (12_fifo/Exponential),avg_bed_utilization,0.889921405455386,0.879972493153467,0.899870317757305,30.0
Stress (12_fifo/Exponential),peak_queue_length,5.0,5.0,5.0,30.0
Stress (12_fifo/Exponential),pct_time_queue_full,0.04641701340730466,0.04036242266555963,0.052471604149049694,30.0
Stress (12_fifo/Exponential),pct_time_under_pressure,0.43495145631067955,0.4058689123216524,0.4640340002997067,30.0
Stress (12_fifo/Exponential),avg_length_of_stay,26.103848426310876,25.88771515210176,26.319981700519993,30.0
Stress (12_fifo/Exponential),rejection_rate_low,0.0614168159700409,0.050255331102216874,0.07257830083786493,30.0
Stress (12_fifo/Exponential),rejection_rate_medium,0.08342295882382864,0.07325423689063999,0.09359168075701728,30.0
Stress (12_fifo/Exponential),rejection_rate_high,0.12291366041366042,0.07131199475102021,0.17451532607630063,30.0
Stress (12_priority/Exponential),admission_rate,0.9007236473262387,0.8907430101869571,0.9107042844655202,30.0
Stress (12_priority/Exponential),rejection_rate,0.09927635267376139,0.08929571553447985,0.10925698981304294,30.0
Stress (12_priority/Exponential),avg_waiting_time,1.3984569651709375,1.307961544261563,1.488952386080312,30.0
Stress (12_priority/Exponential),avg_bed_utilization,0.8779858221605795,0.8702831578186508,0.8856884865025082,30.0
Stress (12_priority/Exponential),peak_queue_length,5.0,5.0,5.0,30.0
Stress (12_priority/Exponential),pct_time_queue_full,0.03522884882108183,0.029765484931147626,0.04069221271101603,30.0
Stress (12_priority/Exponential),pct_time_under_pressure,0.39500693481276006,0.372164025691936,0.4178498439335841,30.0
Stress (12_priority/Exponential),avg_length_of_stay,25.516819332556405,25.36419885835906,25.66943980675375,30.0
Stress (12_priority/Exponential),rejection_rate_low,0.1699044778602853,0.1530398875453719,0.18676906817519873,30.0
Stress (12_priority/Exponential),rejection_rate_medium,0.06609671885174205,0.05659066714560665,0.07560277055787745,30.0
Stress (12_priority/Exponential),rejection_rate_high,0.04689393939393939,0.014578224874764643,0.07920965391311413,30.0
