admission_rate,rejection_rate,avg_waiting_time,avg_bed_utilization,peak_queue_length,pct_time_queue_full,pct_time_under_pressure,avg_length_of_stay,rejection_rate_low,rejection_rate_medium,rejection_rate_high,replication,seed,scenario
0.8338192419825073,0.1661807580174927,3.1517498983711283,0.9282940360610263,5,0.0957004160887656,0.5700416088765603,27.491783593654798,0.16216216216216217,0.1590909090909091,0.3333333333333333,0,2426000,stress_10_fifo_exp
0.7989130434782609,0.20108695652173914,2.728214777573514,0.9382801664355063,5,0.08044382801664356,0.5423023578363384,26.679121312614345,0.1523809523809524,0.2109375,0.5714285714285714,1,2426001,stress_10_fifo_exp
0.7593984962406015,0.24060150375939848,4.797357916313309,0.978502080443828,5,0.13453536754507628,0.8585298196948682,28.62791291061936,0.24812030075187969,0.23076923076923078,0.5,2,2426002,stress_10_fifo_exp
0.7853260869565217,0.21467391304347827,3.529184447016099,0.9423023578363385,5,0.11095700416088766,0.6407766990291263,27.86455856817484,0.15454545454545454,0.22983870967741934,0.5,3,2426003,stress_10_fifo_exp
0.8227146814404432,0.1772853185595568,3.4947049170795084,0.9446601941747573,5,0.09986130374479889,0.6324549237170597,27.16950657080195,0.045871559633027525,0.22857142857142856,0.42857142857142855,4,2426004,stress_10_fifo_exp
0.8296089385474861,0.17039106145251395,4.202488090071457,0.9359223300970874,5,0.10957004160887657,0.7045769764216366,27.748228864497726,0.15079365079365079,0.18222222222222223,0.14285714285714285,5,2426005,stress_10_fifo_exp
0.8155080213903744,0.18449197860962566,4.296529935295325,0.9685159500693481,5,0.0970873786407767,0.8016643550624133,27.871178241526398,0.13986013986013987,0.2100456621004566,0.25,6,2426006,stress_10_fifo_exp
0.856338028169014,0.14366197183098592,3.532740947970487,0.9514563106796117,5,0.06934812760055478,0.6782246879334258,26.723872789370784,0.09090909090909091,0.1762114537444934,0.0,7,2426007,stress_10_fifo_exp
0.7853260869565217,0.21467391304347827,3.5855392039791516,0.9356449375866852,5,0.09431345353675451,0.6407766990291263,27.550160197303633,0.17886178861788618,0.22916666666666666,0.4,8,2426008,stress_10_fifo_exp
0.7512953367875648,0.24870466321243523,4.464930396935036,0.9672676837725382,5,0.1289875173370319,0.812760055478502,29.25459820679408,0.2972972972972973,0.2209737827715356,0.5,9,2426009,stress_10_fifo_exp
0.8143236074270557,0.1856763925729443,3.6187264887317805,0.9714285714285714,5,0.08876560332871013,0.7253814147018031,27.100670745865937,0.15625,0.19834710743801653,0.2857142857142857,10,2426010,stress_10_fifo_exp
0.7967914438502673,0.20320855614973263,3.860513164822823,0.9477115117891818,5,0.11095700416088766,0.7170596393897365,27.542397093815477,0.1308411214953271,0.22813688212927757,0.5,11,2426011,stress_10_fifo_exp
0.7983651226158038,0.2016348773841962,4.286986325993657,0.958113730929265,5,0.10263522884882108,0.7364771151178918,28.542191482723542,0.18018018018018017,0.21052631578947367,0.2222222222222222,12,2426012,stress_10_fifo_exp
0.8323863636363636,0.16761363636363635,3.4836986515115314,0.9460471567267682,5,0.09431345353675451,0.680998613037448,27.235954647478753,0.1322314049586777,0.18552036199095023,0.2,13,2426013,stress_10_fifo_exp
0.8966565349544073,0.1033434650455927,2.698918302886152,0.9400832177531206,5,0.05131761442441054,0.5395284327323162,26.36892480698052,0.0743801652892562,0.11386138613861387,0.3333333333333333,14,2426014,stress_10_fifo_exp
0.7639593908629442,0.23604060913705585,4.680410069771875,0.976005547850208,5,0.13730929264909847,0.8210818307905686,28.91286858209344,0.19117647058823528,0.256198347107438,0.3125,15,2426015,stress_10_fifo_exp
0.8060941828254847,0.19390581717451524,3.932403207841015,0.9611650485436893,5,0.10263522884882108,0.7434119278779473,28.480595289424695,0.1782178217821782,0.20553359683794467,0.0,16,2426016,stress_10_fifo_exp
0.8010471204188482,0.19895287958115182,3.957935565753759,0.9481276005547851,5,0.1289875173370319,0.6643550624133149,26.988055123662207,0.1956521739130435,0.20085470085470086,0.2,17,2426017,stress_10_fifo_exp
0.8592375366568915,0.14076246334310852,3.2442441044742485,0.943273231622746,5,0.08183079056865465,0.5783633841886269,27.273202818310615,0.1111111111111111,0.1511111111111111,0.25,18,2426018,stress_10_fifo_exp
0.8191780821917808,0.18082191780821918,3.5337789719790766,0.9675450762829404,5,0.07212205270457697,0.7337031900138696,27.37192867923294,0.12280701754385964,0.1908713692946058,0.6,19,2426019,stress_10_fifo_exp
0.7967032967032966,0.2032967032967033,3.8832580187471257,0.9714285714285714,5,0.10818307905686546,0.7420249653259362,28.556197727726506,0.12121212121212122,0.23412698412698413,0.23076923076923078,20,2426020,stress_10_fifo_exp
0.7383863080684596,0.2616136919315403,3.9867237119733607,0.9656033287101249,5,0.1317614424410541,0.7572815533980582,27.849689679042214,0.24806201550387597,0.25830258302583026,0.5555555555555556,21,2426021,stress_10_fifo_exp
0.7615384615384615,0.23846153846153847,3.8725484109673767,0.9550624133148407,5,0.1262135922330097,0.6962552011095701,27.926005821913588,0.2109375,0.2490118577075099,0.3333333333333333,22,2426022,stress_10_fifo_exp
0.8435754189944135,0.1564245810055866,3.7132029610016066,0.9557558945908462,5,0.07489597780859916,0.6990291262135923,27.343778877063805,0.10317460317460317,0.18303571428571427,0.25,23,2426023,stress_10_fifo_exp
0.8044077134986226,0.19559228650137742,3.636116449812378,0.9373092926490985,5,0.10124826629680998,0.6893203883495146,27.486201678837034,0.19658119658119658,0.200836820083682,0.0,24,2426024,stress_10_fifo_exp
0.7887700534759359,0.21122994652406418,4.294712722450434,0.9662968099861304,5,0.10402219140083217,0.7919556171983356,28.426012792977584,0.24271844660194175,0.19771863117870722,0.25,25,2426025,stress_10_fifo_exp
0.8628048780487805,0.13719512195121952,3.2076078626620808,0.9216366158113731,5,0.07905686546463246,0.5617198335644937,27.19843758398597,0.16666666666666666,0.11428571428571428,0.3,26,2426026,stress_10_fifo_exp
0.8593272171253823,0.14067278287461774,3.5290342404164883,0.8959778085991679,5,0.07489597780859916,0.6227461858529819,27.487004631158513,0.05102040816326531,0.17937219730941703,0.16666666666666666,27,2426027,stress_10_fifo_exp
0.8125,0.1875,4.1542916777517,0.9617198335644939,5,0.10679611650485436,0.7725381414701803,28.256494488305915,0.168141592920354,0.18875502008032127,0.5,28,2426028,stress_10_fifo_exp
0.7744565217391305,0.22554347826086957,3.8666526608381493,0.9406380027739252,5,0.11095700416088766,0.6907073509015257,28.239087468656333,0.16831683168316833,0.25196850393700787,0.15384615384615385,29,2426029,stress_10_fifo_exp
