scenario,mean,ci_lower,ci_upper,n_replications
Capacity (12 beds/FIFO/Uniform),0.01746458098015126,0.012610749385346995,0.022318412574955523,30.0
Combined (12/Priority/Uniform),0.0264760186731229,0.02255676878201432,0.030395268564231484,30.0
Stress (12_fifo/Exponential),0.07678927770449272,0.06817099932934789,0.08540755607963754,30.0
Stress (12_priority/Exponential),0.09927635267376139,0.08929571553447985,0.10925698981304294,30.0
Base (10/FIFO/Uniform),0.14775184012631115,0.1419715431231818,0.1535321371294405,30.0
Queue Policy (10/Priority/Uniform),0.17534282760955985,0.1677444765886622,0.1829411786304575,30.0
Stress (10_fifo/Exponential),0.1910414261139458,0.17727388649489673,0.2048089657329949,30.0
Stress (10_priority/Exponential),0.21816901459886834,0.20448016702554542,0.23185786217219126,30.0
